iter	Passed	Remaining
804	1873	453
805	1875	451
806	1876	448
807	1878	446
808	1880	443
809	1881	441
810	1883	439
811	1886	436
812	1888	434
813	1890	431
814	1891	429
815	1893	427
816	1895	424
817	1897	422
818	1899	419
819	1901	417
820	1903	415
821	1912	414
822	1914	411
823	1917	409
824	1919	407
825	1921	404
826	1923	402
827	1925	399
828	1927	397
829	1928	395
830	1930	392
831	1932	390
832	1934	387
833	1936	385
834	1937	382
835	1939	380
836	1941	378
837	1942	375
838	1944	373
839	1947	370
840	1948	368
841	1950	366
842	1952	363
843	1953	361
844	1955	358
845	1957	356
846	1958	353
847	1960	351
848	1963	349
849	1964	346
850	1966	344
851	1968	341
852	1970	339
853	1971	337
854	1973	334
855	1975	332
856	1977	330
857	1979	327
858	1981	325
859	1983	322
860	1984	320
861	1986	318
862	1988	315
863	1990	313
864	1991	310
865	1993	308
866	1995	306
867	1997	303
868	1999	301
869	2001	299
870	2003	296
871	2005	294
872	2007	291
873	2009	289
874	2011	287
875	2014	285
876	2016	282
877	2018	280
878	2020	278
879	2022	275
880	2024	273
881	2026	271
882	2027	268
883	2029	266
884	2031	263
885	2033	261
886	2035	259
887	2036	256
888	2039	254
889	2040	252
890	2042	249
891	2044	247
892	2046	245
893	2048	242
894	2049	240
895	2051	238
896	2053	235
897	2055	233
898	2057	231
899	2058	228
900	2060	226
901	2062	224
902	2064	221
903	2065	219
904	2067	217
905	2070	214
906	2071	212
907	2073	210
908	2075	207
909	2076	205
910	2078	203
911	2080	200
912	2081	198
913	2083	196
914	2086	193
915	2087	191
916	2089	189
917	2091	186
918	2093	184
919	2095	182
920	2097	179
921	2098	177
922	2101	175
923	2103	173
924	2105	170
925	2108	168
926	2110	166
927	2112	163
928	2114	161
929	2116	159
930	2118	157
931	2120	154
932	2121	152
933	2123	150
934	2125	147
935	2127	145
936	2128	143
937	2131	140
938	2133	138
939	2135	136
940	2136	133
941	2138	131
942	2140	129
943	2141	127
944	2143	124
945	2145	122
946	2147	120
947	2149	117
948	2151	115
949	2153	113
950	2155	111
951	2157	108
952	2159	106
953	2161	104
954	2163	101
955	2165	99
956	2167	97
957	2169	95
958	2170	92
959	2172	90
960	2174	88
961	2177	86
962	2179	83
963	2181	81
964	2183	79
965	2184	76
966	2187	74
967	2189	72
968	2192	70
969	2194	67
970	2196	65
971	2198	63
972	2200	61
973	2202	58
974	2205	56
975	2208	54
976	2211	52
977	2214	49
978	2219	47
979	2224	45
980	2226	43
981	2231	40
982	2233	38
983	2235	36
984	2237	34
985	2239	31
986	2241	29
987	2243	27
988	2245	24
989	2247	22
990	2250	20
991	2253	18
992	2255	15
993	2258	13
994	2261	11
995	2265	9
996	2272	6
997	2276	4
998	2279	2
999	2283	0
